County ,"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d ","Public Supply total self-supplied withdrawals, groundwater, in Mgal/d ","Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d ","Public Supply total self-supplied withdrawals, surface water, in Mgal/d ","Public Supply total self-supplied withdrawals, fresh, in Mgal/d ","Public Supply total self-supplied withdrawals, total, in Mgal/d ","Public Supply deliveries to domestic, in Mgal/d ","Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d ","Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d ","Domestic total self-supplied withdrawals, fresh, in Mgal/d ","Domestic deliveries from public supply, in Mgal/d ","Domestic total self-supplied withdrawals, in Mgal/d ","Domestic total self-supplied withdrawals plus deliveries, in Mgal/d ","Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d ","Industrial total self-supplied withdrawals, groundwater, in Mgal/d ","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d ","Industrial total self-supplied withdrawals, surface water, in Mgal/d ","Industrial total self-supplied withdrawals, fresh, in Mgal/d ","Industrial total self-supplied withdrawals, in Mgal/d ","Mining self-supplied groundwater withdrawals, fresh, in Mgal/d ","Mining self-supplied groundwater withdrawals, saline, in Mgal/d ","Mining total self-supplied withdrawals, groundwater, in Mgal/d ","Mining self-supplied surface-water withdrawals, fresh, in Mgal/d ","Mining total self-supplied withdrawals, surface water, in Mgal/d ","Mining total self-supplied withdrawals, fresh, in Mgal/d ","Mining total self-supplied withdrawals, saline, in Mgal/d ","Mining total self-supplied withdrawals, in Mgal/d ","Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d ","Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d ","Livestock total self-supplied withdrawals, fresh, in Mgal/d ","Aquaculture self-supplied groundwater withdrawals, fresh, in Mgal/d ","Aquaculture total self-supplied withdrawals, groundwater, in Mgal/d ","Aquaculture self-supplied surface-water withdrawals, fresh, in Mgal/d ","Aquaculture total self-supplied withdrawals, surface water, in Mgal/d ","Aquaculture total self-supplied withdrawals, fresh, in Mgal/d ","Aquaculture total self-supplied withdrawals, in Mgal/d ","Irrigation, Total self-supplied groundwater withdrawals, fresh, in Mgal/d ","Irrigation, Total total self-supplied withdrawals, groundwater, in Mgal/d ","Irrigation, Total self-supplied surface-water withdrawals, fresh, in Mgal/d ","Irrigation, Total total self-supplied withdrawals, surface water, in Mgal/d ","Irrigation, Total total self-supplied withdrawals, fresh, in Mgal/d ","Irrigation, Total total self-supplied withdrawals, in Mgal/d ","Irrigation, Total consumptive use, fresh, in Mgal/d ","Irrigation, Total total consumptive use, in Mgal/d ","Irrigation, Total reclaimed wastewater, in Mgal/d ","Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d ","Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d ","Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d ","Irrigation, Crop consumptive use for crops, fresh, in Mgal/d ","Irrigation, Crop reclaimed wastewater for crops, in Mgal/d ","Irrigation, Golf Courses self-supplied groundwater withdrawals for golf courses, fresh, in Mgal/d ","Irrigation, Golf Courses self-supplied surface-water withdrawals for golf courses, fresh, in Mgal/d ","Irrigation, Golf Courses total self-supplied withdrawals for golf courses, fresh, in Mgal/d ","Irrigation, Golf Courses consumptive use for golf courses, fresh, in Mgal/d ","Irrigation, Golf Courses reclaimed wastewater for golf courses, in Mgal/d "
Butte,19.08,19.08,9.73,9.73,28.81,28.81,18.69,2.94,0.43,3.37,18.69,0,22.06,3.17,3.17,0.85,0.85,4.02,4.02,0,1.46,1.46,0,0,0,1.46,1.46,0.13,0.16,0.29,21.27,21.27,0,0,21.27,21.27,716.7,716.7,35.98,35.98,752.68,752.68,591.87,591.87,0.23,716.43,35.77,752.2,591.51,0.01,0.27,0.21,0.48,0.36,0.22
Plumas,1.59,1.59,0.56,0.56,2.15,2.15,1.38,0.17,0.06,0.23,1.38,87,1.61,1.35,1.35,0,0,1.35,1.35,0.11,0.16,0.27,0.02,0.02,0.13,0.16,0.29,0.12,0.15,0.27,0.01,0.01,0.01,0.01,0.02,0.02,72.13,72.13,30.65,30.65,102.78,102.78,76.26,76.26,0.44,71.66,30.04,101.7,75.44,0.27,0.47,0.61,1.08,0.82,0.17
